Year,Month,Day,Max of Price,Typical Price,Open/Close,High/Low,Volume,Type
2023,March,20,$157.82,$156.46,-2.33,3.67,73641400,High
2023,March,21,$159.40,$158.41,-1.96,2.86,73938300,High
2023,March,22,$162.14,$159.26,1.47,4.33,75701800,High
2023,March,23,$161.55,$159.39,-0.10,3.87,67622100,High
2023,March,24,$160.34,$159.48,-1.39,2.49,59196500,High
2023,March,27,$160.77,$158.97,1.66,2.90,52390300,High
2023,March,28,$158.49,$157.37,0.32,2.51,45992200,High
2023,March,29,$161.05,$160.39,-1.40,1.70,51305700,High
2023,March,30,$162.47,$162.03,-0.83,1.20,49501700,High
2023,March,31,$165.00,$163.94,-2.46,3.09,68694700,High
2023,April,3,$166.29,$165.56,-1.90,2.07,56976200,High
2023,April,4,$166.84,$165.86,0.97,1.73,46278300,High
2023,April,5,$165.05,$163.54,0.98,3.25,51511700,High
2023,April,6,$164.96,$163.87,-2.23,2.96,45390100,High
2023,April,10,$162.03,$161.38,-0.61,1.95,47716900,High
2023,April,11,$162.36,$161.22,1.55,1.85,47644200,High
2023,April,12,$162.06,$160.65,1.12,2.28,50133100,High
2023,April,13,$165.80,$164.26,-3.93,4.38,68445600,High
2023,April,14,$166.32,$165.12,-0.62,2.50,49337200,High
2023,April,17,$165.39,$164.88,-0.14,1.36,41516200,High
2023,April,18,$167.41,$166.51,-0.37,1.76,49923000,High
2023,April,19,$168.16,$167.11,-1.83,2.62,47720200,High
2023,April,20,$167.87,$166.69,-0.56,2.31,52362900,High
2023,April,21,$166.45,$165.32,0.03,1.96,58311900,High
2023,April,24,$165.60,$164.94,-0.33,1.71,41949600,High
2023,April,25,$166.31,$164.60,1.42,2.58,48714100,High
2023,April,26,$165.28,$163.95,-0.70,2.48,45498800,High
2023,April,27,$168.56,$167.39,-3.22,3.37,64728500,High
2023,January,3,$123.98,$126.52,5.20,6.72,112117500,Low
2023,January,4,$124.89,$126.51,0.53,3.57,89113600,Low
2023,January,5,$124.57,$125.66,2.11,3.01,80962700,Low
2023,January,6,$124.70,$128.07,-3.60,5.39,87754700,Low
2023,January,9,$129.69,$130.95,0.32,3.51,70790800,Low
2023,January,10,$127.92,$129.84,-0.47,3.14,63896200,Low
2023,January,11,$130.26,$132.28,-2.24,3.05,69458900,Low
2023,January,12,$131.24,$132.83,0.47,2.82,71379600,Low
2023,January,13,$131.46,$133.58,-2.73,3.26,57809700,Low
2023,January,17,$133.93,$135.58,-1.11,3.16,63646600,Low
2023,January,18,$134.82,$136.08,1.61,3.57,69672800,Low
2023,January,19,$133.57,$134.89,-1.19,2.48,58280400,Low
2023,January,20,$134.02,$136.49,-2.59,3.79,80223600,Low
2023,January,23,$137.69,$140.56,-2.99,5.41,81760300,Low
2023,January,24,$140.09,$141.78,-2.22,2.86,66435100,Low
2023,January,25,$138.60,$140.82,-0.97,3.61,65799300,Low
2023,January,26,$141.68,$143.15,-0.79,2.35,54105100,Low
2023,January,27,$142.86,$145.19,-2.77,4.14,70555800,Low
2023,January,30,$142.63,$143.58,1.96,2.70,64015300,Low
2023,January,31,$142.06,$143.42,-1.59,2.06,65874500,Low
2023,February,1,$141.10,$144.23,-1.46,5.28,77663600,Low
2023,February,2,$147.94,$149.83,-1.92,3.01,118339000,Low
2023,February,3,$147.60,$153.00,-6.46,9.54,154357300,Low
2023,February,6,$150.55,$151.64,0.84,2.32,69858300,Low
2023,February,7,$150.41,$153.27,-4.00,4.58,83322600,Low
